Property Title,Price,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment,Terrace,Cellar,Beds
"Condo/Apartment for sale in Paris, France","$328,293",1,,,19 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$582,173",3,,2,60 m²,Condo/Apartment,,,,,Electric,,G726,C24,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$874,354",4,,2,80 m²,Condo/Apartment,,,,,Electric,,E292,B10,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$979,408",3,,2,88 m²,,,,,,,,D41,D42,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$979,408",3,,2,88 m²,,,,,,,,D41,D42,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,039,595",5,,3,110 m²,,,,,,,,C134,C28,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$962,994",4,,2,85 m²,,,,,,,,C173,A5,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$902,807",3,,2,76 m²,Condo/Apartment,,,,,Electric,,F346,C11,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$983,786",5,,4,116 m²,Condo/Apartment,,,,,Gas,,D236,D48,,,1,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,301,136",4,,2,110 m²,Condo/Apartment,,,,,Gas,,E312,E68,,,2,2,,,,,1,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$293,275",1,,,18 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$353,462",2,,,30 m²,,,,,,,,E238,E69,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$414,744",1,,,37 m²,Condo/Apartment,,,,,Electric,,E299,B9,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$519,798",2,,1,43 m²,Condo/Apartment,,,,,Electric,,E312,B10,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$519,798",2,,1,43 m²,Condo/Apartment,,,,,Electric,,E312,B10,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$390,669",2,,1,58 m²,,,,,,,,E276,B8,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$184,939",2,,,34 m²,Condo/Apartment,,,,,Electric,,D221,B7,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$551,861",4,,,73 m²,,,,,,,,E264,E57,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$589,834",3,,2,60 m²,Condo/Apartment,,,,,Electric,,E283,B9,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$653,304",2,,,54 m²,,,,,,,,D191,A5,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$298,747",3,,1,35 m²,,,,,,,,F342,F72,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$622,663",3,,1,50 m²,Condo/Apartment,,,,,Gas,,G688,C23,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$645,643",3,,2,63 m²,Condo/Apartment,,,,,Electric,,E260,E56,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$372,066",2,,1,34 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$820,733",3,,2,76 m²,Condo/Apartment,,,,,Electric,,E262,B8,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$399,424",2,,1,33 m²,,,,,,,,E253,E54,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$599,682",2,,1,48 m²,Condo/Apartment,,,,,Electric,,C149,A4,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$480,403",2,,1,47 m²,Condo/Apartment,,,,,Electric,,G507,C25,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$148,826",1,,,8 m²,,,,,,,,G842,C27,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$463,441",2,,1,48 m²,Condo/Apartment,,,,,Gas,,F407,F87,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$491,346",3,,2,31 m²,,,,,,,,E278,B9,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$530,741",4,,3,51 m²,,,,,,,,E316,E69,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$284,521",1,,,31 m²,Condo/Apartment,,,,,Gas,,F336,F72,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$444,290",2,,1,33 m²,Condo/Apartment,,,,,Electric,,E325,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$195,882",2,,1,17 m²,Condo/Apartment,,,,,Electric,,G1273,D42,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$764,923",3,,2,77 m²,Condo/Apartment,,,,,Gas,,F352,F77,,,1,1,,,,,,,,,,,,,
