,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
631,2,6.0,1.0,53.0,Condo/Apartment,,,,,"Radiator, Individual, Gas",Boiler,F367,F80,,,,,,,,,,,,,,
632,4,7.0,3.0,127.33,Condo/Apartment,,,1900.0,,"Radiator, Individual, Gas",Boiler,D312,E68,,Main drainage,1.0,1.0,,,,,,,,,,
633,1,6.0,,7.0,Condo/Apartment,,,1890.0,,Individual,,G,C23,,,,1.0,1.0,,,,,,,,,
634,1,6.0,,7.0,,,,,,,,F657,C22,,,,,,,,,,,,,,
635,3,,2.0,62.0,Condo/Apartment,,,,,Common,,D230,D35,,Main drainage,,1.0,1.0,,,,1.0,,,,,
636,2,6.0,1.0,26.0,Condo/Apartment,,,1955.0,,,,F,C,,,1.0,1.0,,,,,,,,,,
637,6,2.0,4.0,112.0,Condo/Apartment,,,1860.0,,"Radiator, Individual, Gas",Boiler,F413,F71,,,,1.0,1.0,,,,,,,,,
638,2,15.0,1.0,60.0,Condo/Apartment,,,1973.0,,"Radiator, Mixed, Electric",,E294,B9,,,1.0,1.0,,,1.0,,1.0,,,,,
639,2,4.0,1.0,47.23,Condo/Apartment,,,1900.0,,"Radiator, Individual, Gas",Boiler,E236,E50,,,,1.0,1.0,,,,,,,,,
640,4,8.0,3.0,97.03,Condo/Apartment,Excellent condition,,1963.0,,"Radiator, Common, Fuel oil","Boiler, Collective",E199,E56,97.03 m²,Main drainage,,,,,,,,,,,,
641,6,6.0,3.0,156.0,Condo/Apartment,Requires renovation,,,,"Radiator, Individual, Gas","Boiler, Individual",D182,D39,156 m²,,,,,,,,,,,,,
642,1,,,6.05,Condo/Apartment,,,1881.0,,,,No data,No data,8 m²,,,,,,,,,,,,,
643,6,6.0,3.0,156.0,Condo/Apartment,Requires renovation,,1890.0,,"Radiator, Individual, Gas","Boiler, Individual",D182,D39,156 m²,,,,,,,,,,,,,
644,3,,2.0,71.0,Condo/Apartment,,,1881.0,,Common,,No data,No data,71 m²,,,,,,,,,,,,,
645,3,6.0,2.0,47.95,Condo/Apartment,Excellent condition,,1907.0,,"Convector, Individual, Electric","Hot water tank, Individual",E314,B10,,Main drainage,,,,,,,,,,,,
